dia_ocu,mes_ocu,año_ocu,hora_ocu,depto_ocu,mupio_ocu,tipo_veh,color_veh,modelo_veh,tipo_accidente,marca_veh
24.0,1.0,2013,15.0,13.0,1306.0,2.0,6.0,1985.0,1.0,44.0
24.0,1.0,2013,1.0,16.0,1606.0,1.0,16.0,1995.0,1.0,32.0
24.0,1.0,2013,15.0,2.0,207.0,3.0,2.0,2008.0,1.0,44.0
24.0,1.0,2013,0.0,17.0,1712.0,4.0,4.0,9999.0,3.0,42.0
24.0,1.0,2013,19.0,14.0,1419.0,5.0,2.0,9999.0,3.0,23.0
25.0,1.0,2013,0.0,1.0,101.0,4.0,5.0,9999.0,3.0,21.0
25.0,1.0,2013,8.0,1.0,117.0,4.0,9.0,2007.0,1.0,99.0
25.0,1.0,2013,19.0,20.0,2001.0,4.0,99.0,9999.0,1.0,42.0
25.0,1.0,2013,19.0,19.0,1905.0,4.0,99.0,9999.0,3.0,99.0
25.0,1.0,2013,6.0,5.0,511.0,2.0,4.0,2002.0,2.0,13.0
25.0,1.0,2013,23.0,11.0,1102.0,4.0,5.0,2004.0,2.0,21.0
25.0,1.0,2013,20.0,9.0,920.0,4.0,2.0,2013.0,1.0,14.0
25.0,1.0,2013,23.0,9.0,901.0,1.0,4.0,2012.0,1.0,44.0
25.0,1.0,2013,12.0,9.0,921.0,14.0,1.0,9999.0,1.0,2.0
25.0,1.0,2013,14.0,9.0,901.0,1.0,2.0,2005.0,2.0,20.0
25.0,1.0,2013,18.0,8.0,801.0,12.0,1.0,1992.0,3.0,22.0
26.0,1.0,2013,22.0,1.0,101.0,1.0,99.0,9999.0,1.0,44.0
26.0,1.0,2013,0.0,1.0,101.0,4.0,1.0,9999.0,2.0,21.0
26.0,1.0,2013,4.0,1.0,101.0,1.0,1.0,1998.0,2.0,4.0
26.0,1.0,2013,17.0,6.0,609.0,3.0,2.0,1986.0,1.0,44.0
26.0,1.0,2013,22.0,10.0,1014.0,3.0,8.0,1988.0,1.0,44.0
26.0,1.0,2013,0.0,11.0,1105.0,1.0,6.0,1994.0,1.0,17.0
26.0,1.0,2013,11.0,13.0,1301.0,5.0,2.0,9999.0,1.0,99.0
27.0,1.0,2013,4.0,1.0,101.0,1.0,5.0,9999.0,2.0,46.0
27.0,1.0,2013,20.0,1.0,101.0,1.0,9.0,1996.0,1.0,37.0
27.0,1.0,2013,15.0,1.0,115.0,3.0,1.0,1990.0,2.0,23.0
27.0,1.0,2013,0.0,1.0,116.0,4.0,5.0,9999.0,1.0,40.0
27.0,1.0,2013,17.0,1.0,101.0,5.0,2.0,9999.0,1.0,34.0
27.0,1.0,2013,15.0,21.0,2107.0,5.0,2.0,1996.0,1.0,23.0
27.0,1.0,2013,3.0,20.0,2008.0,1.0,3.0,2007.0,1.0,32.0
27.0,1.0,2013,21.0,19.0,1901.0,4.0,3.0,2007.0,1.0,40.0
27.0,1.0,2013,1.0,5.0,509.0,1.0,5.0,1990.0,2.0,38.0
27.0,1.0,2013,17.0,6.0,614.0,4.0,99.0,9999.0,1.0,99.0
27.0,1.0,2013,17.0,9.0,901.0,9.0,2.0,2005.0,1.0,30.0
27.0,1.0,2013,16.0,15.0,1501.0,9.0,11.0,2008.0,1.0,34.0
27.0,1.0,2013,16.0,15.0,1501.0,4.0,5.0,9999.0,1.0,2.0
27.0,1.0,2013,22.0,2.0,207.0,1.0,2.0,1995.0,1.0,99.0
28.0,1.0,2013,23.0,1.0,101.0,1.0,9.0,9999.0,1.0,44.0
28.0,1.0,2013,20.0,1.0,105.0,6.0,7.0,9999.0,3.0,15.0
28.0,1.0,2013,18.0,1.0,101.0,3.0,99.0,9999.0,1.0,99.0
28.0,1.0,2013,0.0,21.0,2103.0,3.0,4.0,9999.0,4.0,44.0
28.0,1.0,2013,17.0,6.0,603.0,14.0,1.0,2006.0,1.0,2.0
28.0,1.0,2013,17.0,17.0,1703.0,4.0,99.0,9999.0,2.0,42.0
28.0,1.0,2013,16.0,17.0,1708.0,1.0,11.0,1998.0,1.0,44.0
29.0,1.0,2013,10.0,1.0,101.0,5.0,99.0,9999.0,1.0,99.0
29.0,1.0,2013,8.0,19.0,1904.0,6.0,1.0,1998.0,1.0,15.0
29.0,1.0,2013,22.0,11.0,1101.0,4.0,1.0,9999.0,3.0,24.0
29.0,1.0,2013,15.0,16.0,1613.0,4.0,5.0,9999.0,1.0,42.0
29.0,1.0,2013,18.0,18.0,1801.0,4.0,14.0,2005.0,2.0,40.0
29.0,1.0,2013,16.0,17.0,1701.0,4.0,99.0,9999.0,1.0,99.0
29.0,1.0,2013,18.0,17.0,1701.0,4.0,5.0,9999.0,1.0,2.0
30.0,1.0,2013,22.0,20.0,2001.0,3.0,2.0,9999.0,1.0,44.0
30.0,1.0,2013,17.0,10.0,1010.0,2.0,6.0,9999.0,1.0,26.0
30.0,1.0,2013,15.0,11.0,1101.0,2.0,5.0,9999.0,1.0,44.0
30.0,1.0,2013,16.0,4.0,403.0,1.0,5.0,9999.0,2.0,44.0
31.0,1.0,2013,20.0,1.0,108.0,1.0,4.0,9999.0,1.0,33.0
31.0,1.0,2013,19.0,20.0,2001.0,1.0,5.0,9999.0,2.0,21.0
31.0,1.0,2013,6.0,19.0,1904.0,1.0,4.0,2005.0,2.0,21.0
31.0,1.0,2013,23.0,10.0,1001.0,1.0,5.0,1996.0,2.0,21.0
